Produto Id __,Categoria,Categorias Nome,subCategoria Id,Categoria de Tamanho id,Código Ref,Possui Variação,Produto,Descrição,Concentrado,TMP Concentrado,Look Valor Variação,TMP Valor Variação,TMP Promoção Variação,Valor Original,Se valor promocional,Valor Correto Original,Se valor promocional variação,Se valor correto,Variações do Produto,Valor Final do Produto com Variação,TMP Valor vitrine,Soma total,TMP Valor total,Imagem,Se Imagem,Entry Quantidade,Entry Tamanhos,TMP Chave tripla,TMP_Produto ID + Fragrancia ID,Mensagem Whatsapp,Link Whatsapp,Conta Relacionado,Nome/Tamanho nome,Novidades,Mais Vendidos,Soma mais vendidos,Soma os mais vendidos,Primeira Imagem,Entry Cor antigo,Entry Fragrância,Nome/Fragrância nome,Indisponível,Tamanho sem cor,Cores dos Produtos,Entry Cor,Nome/Cor Nome,Promoção Original
UceLAPb9QGyGGHGzZtEwzg,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,shoR0gYiRqa38PWPHW7ZaA,PZOwW1.1ROSiob7KmFoQKw,7898237044200,Tem variação,Seven At Detergente Automotivo,"DETERGENTE DESINCRUSTANTE: Indicado para limpeza de chassis, carrocerias em geral, baús, rodas, alumínios, ferragens, etc.
Alto rendimento por diluição.",Super concentrado - Alto Rendimento,"Super concentrado - Alto Rendimento a partir de R$22,70",218,"R$ 218,00",,"22,7","22,7","R$22,70","R$ 218,00","R$ 218,00","5L   R$ 66,30
 20L   R$ 218,00
 50L   R$ 375,00
 1L   R$ 22,70","5L   R$ 66,30
 20L   R$ 218,00
 50L   R$ 375,00
 1L   R$ 22,70","a partir de R$22,70",218,"1 x R$ 218,00 -> R$ 218,00 ",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/9dy57ue55JVMCyYOC5Xh.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/9dy57ue55JVMCyYOC5Xh.png,1,YlN0PF5XT-euynbZ-Fer6Q,UceLAPb9QGyGGHGzZtEwzg YlN0PF5XT-euynbZ-Fer6Q  ,UceLAPb9QGyGGHGzZtEwzg ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven At Detergente Automotivo%0A
#c, #n%0A%0A
1 x R$22,70 -> R$ 218,00%0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven At Detergente Automotivo%0A
#c, #n%0A%0A
1 x R$22,70 -> R$ 218,00%0A%0A
Obrigado",36,20L,false,true,50,5396,,,,,,,,,,
7iERFYvIRkuTo8uTgmLnIg,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,shoR0gYiRqa38PWPHW7ZaA,PZOwW1.1ROSiob7KmFoQKw,7898237044293,Tem variação,"Seven Denso 
",DESENGRAXANTE ALCALINO: desenvolvido para limpeza pesada com ação desengraxante,Concentrado - Alto Rendimento,"Concentrado - Alto Rendimento a partir de R$19,50",,,,"19,5","19,5","R$19,50",,,"1L   R$ 19,50
 5L   R$ 75,30
 20L   R$ 214,00
 50L   R$ 406,00","1L   R$ 19,50
 5L   R$ 75,30
 20L   R$ 214,00
 50L   R$ 406,00","a partir de R$19,50",,1 x  ->  ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/jp0eU3bJcaBQiRhntyVS.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/jp0eU3bJcaBQiRhntyVS.png,1,,7iERFYvIRkuTo8uTgmLnIg  afep1N0qTIKD33fayENcvA ,7iERFYvIRkuTo8uTgmLnIg afep1N0qTIKD33fayENcvA,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Denso 
%0A
#c, #n%0A%0A
1 x R$19,50 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Denso 
%0A
#c, #n%0A%0A
1 x R$19,50 -> %0A%0A
Obrigado",36,,,,59,5396,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/jp0eU3bJcaBQiRhntyVS.png,qFrxBtlmRvyKk4nb-wM8BQ,afep1N0qTIKD33fayENcvA,Lavanda,,,,,,
qPxQYT-ySIyvhcj8Ky.yXg,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,shoR0gYiRqa38PWPHW7ZaA,PZOwW1.1ROSiob7KmFoQKw,9607,Tem variação,Seven Bor 1L,"RENOVADOR DE BORRACHAS: indicado para uso em superfícies
emborrachadas.",Pronto-uso,"Pronto-uso a partir de R$16,40","16,4","R$ 16,40",,"16,4","16,4","R$16,40","R$ 16,40","R$ 16,40","1L   R$ 16,40","1L   R$ 16,40","a partir de R$16,40","16,4","1 x R$ 16,40 -> R$ 16,40 ",https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/ot9gxcmtc06Ljdv0eYHm.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/ot9gxcmtc06Ljdv0eYHm.png,1,RUXZ-ZBlRFidQ3NF7FoiAg,qPxQYT-ySIyvhcj8Ky.yXg RUXZ-ZBlRFidQ3NF7FoiAg  ,qPxQYT-ySIyvhcj8Ky.yXg ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Bor 1L%0A
#c, #n%0A%0A
1 x R$16,40 -> R$ 16,40%0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Bor 1L%0A
#c, #n%0A%0A
1 x R$16,40 -> R$ 16,40%0A%0A
Obrigado",36,1L,,,18,5396,,,,,,,,,,
jGGhxNYCQN2Q3p.vQMmiLQ,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,shoR0gYiRqa38PWPHW7ZaA,PZOwW1.1ROSiob7KmFoQKw,,Tem variação,Silic Gel,SILICONE DE ACABAMENTO: desenvolvido para proteção de todo o interior de veículos,Pronto-uso,"Pronto-uso a partir de R$13,50",,,,"13,5","13,5","R$13,50",,,"170g   R$ 13,50","170g   R$ 13,50","a partir de R$13,50",,2 x  ->  ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/Q3x6qYdHh1xHplpMBbGU.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/Q3x6qYdHh1xHplpMBbGU.png,2,,jGGhxNYCQN2Q3p.vQMmiLQ  gI-hWcX1QEatrZ7r8Q4bSg ,jGGhxNYCQN2Q3p.vQMmiLQ gI-hWcX1QEatrZ7r8Q4bSg,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Silic Gel%0A
#c, #n%0A%0A
2 x R$13,50 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Silic Gel%0A
#c, #n%0A%0A
2 x R$13,50 -> %0A%0A
Obrigado",36,,,,7,5396,,S7vgR.iaQN-8bwtAJaFXkw,gI-hWcX1QEatrZ7r8Q4bSg,Flores do Campo,,,,,,
uLH64GruSGmQpXAypvnR7A,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,shoR0gYiRqa38PWPHW7ZaA,PZOwW1.1ROSiob7KmFoQKw,7898237044385,Tem variação,Seven Lava Autos ,"SHAMPOO CONCENTRADO: indicado para lavagem de veículos
automotivos, aeronaves, carretas, etc. - Com teflon.",Concentrado - Alto Rendimento,"Concentrado - Alto Rendimento a partir de R$25,00",,,,25,25,"R$25,00",,,"1L   R$ 24,00
 5L   R$ 105,00","1L   R$ 24,00
 5L   R$ 105,00","a partir de R$25,00",,1 x  ->  ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/FKhor3RJ7uJcgcwIVPP3.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/FKhor3RJ7uJcgcwIVPP3.png,1,,uLH64GruSGmQpXAypvnR7A   ,uLH64GruSGmQpXAypvnR7A ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Lava Autos %0A
#c, #n%0A%0A
1 x R$25,00 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Lava Autos %0A
#c, #n%0A%0A
1 x R$25,00 -> %0A%0A
Obrigado",36,,,,18,5396,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/FKhor3RJ7uJcgcwIVPP3.png,,,,,,,,,
Av0qjK9HRx-yUp5z4AAjEA,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,vYSQobfaRIO0urHRc8WyWQ,PZOwW1.1ROSiob7KmFoQKw,5585,Tem variação,Passe Fácil,FACILITADOR PARA PASSAR ROUPAS: elimina a carga estática deixando uma sensação agradável ao toque e um suave perfume.,Pronto-uso,"Pronto-uso a partir de R$15,60","60,6","R$ 60,60",,"15,6","15,6","R$15,60","R$ 60,60","R$ 60,60","1L   R$ 15,60
 5L   R$ 60,60","1L   R$ 15,60
 5L   R$ 60,60","a partir de R$15,60","121,2","2 x R$ 60,60 -> R$ 121,20 ",,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/FwKrXHS9s32TM7ydRx22.png,2,Wrx-GAsYQQe-OWT9NcZ6ew,Av0qjK9HRx-yUp5z4AAjEA Wrx-GAsYQQe-OWT9NcZ6ew  ,Av0qjK9HRx-yUp5z4AAjEA ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Passe Fácil%0A
#c, #n%0A%0A
2 x R$15,60 -> R$ 121,20%0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Passe Fácil%0A
#c, #n%0A%0A
2 x R$15,60 -> R$ 121,20%0A%0A
Obrigado",33,5L,,,42,5396,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/FwKrXHS9s32TM7ydRx22.png,Icq8Tn9dS1eNPw6G6.hZ4A,,,,,,,,
2J1h3-T7SD2DFC8r.fBclQ,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,vYSQobfaRIO0urHRc8WyWQ,PZOwW1.1ROSiob7KmFoQKw,7898237040141,Tem variação,"Seven Soft Amaciante
",Indicado para acabamento final em fibras naturais e sintéticas com excelente perfume. ,Concentrado - Alto Rendimento,"Concentrado - Alto Rendimento a partir de R$16,50",,,,"16,5","16,5","R$16,50",,,"1L   R$ 20,50
 5L   R$ 46,70
 20L   R$ 491,00","1L   R$ 20,50
 5L   R$ 46,70
 20L   R$ 491,00","a partir de R$16,50",,1 x  ->  ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/TtSLcTKaiN7Mlhm8zbSp.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/TtSLcTKaiN7Mlhm8zbSp.png,1,,2J1h3-T7SD2DFC8r.fBclQ   ,2J1h3-T7SD2DFC8r.fBclQ ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Soft Amaciante
%0A
#c, #n%0A%0A
1 x R$16,50 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Soft Amaciante
%0A
#c, #n%0A%0A
1 x R$16,50 -> %0A%0A
Obrigado",33,,,,20,5396,,,,,,,,,,
dI84XCU-R5284h4qXDphNw,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,vYSQobfaRIO0urHRc8WyWQ,PZOwW1.1ROSiob7KmFoQKw,,Tem variação,Seven Neut,"ACIDULANTE: age neutralizando os resíduos alcalinos e clorados que 
são gerados na lavagem e alvejamento de roupas.",Concentrado - Alto Rendimento,"Concentrado - Alto Rendimento a partir de R$201,50",,,,"201,5","201,5","R$201,50",,,"50L   R$ 620,00","50L   R$ 620,00","a partir de R$201,50",, x  ->  ,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/Ju4l3WhbbdY7sVast6TA.png,,,dI84XCU-R5284h4qXDphNw   ,dI84XCU-R5284h4qXDphNw ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Neut%0A
#c, #n%0A%0A
 x R$201,50 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Neut%0A
#c, #n%0A%0A
 x R$201,50 -> %0A%0A
Obrigado",33,,,,5,5396,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/Ju4l3WhbbdY7sVast6TA.png,,,,true,,,,,
kn99jrTVSKuVM4BRI2Jmuw,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,vYSQobfaRIO0urHRc8WyWQ,PZOwW1.1ROSiob7KmFoQKw,9274,Tem variação,Soap Gold 50L,"Detergente completo utilizado nas etapas de umectação, pré-lavagem e lavagem em todo tipo de fibras têxteis, rico em branqueadores ópticos e solvente vegetal",Concentrado - Alto Rendimento,"Concentrado - Alto Rendimento a partir de R$1.270,00",,,,1270,1270,"R$1.270,00",,,"50L   R$ 1.270,00","50L   R$ 1.270,00","a partir de R$1.270,00",, x  ->  ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/foYrinjz5FKNv1gW1eql.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/foYrinjz5FKNv1gW1eql.png,,,kn99jrTVSKuVM4BRI2Jmuw   ,kn99jrTVSKuVM4BRI2Jmuw ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Soap Gold 50L%0A
#c, #n%0A%0A
 x R$1.270,00 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Soap Gold 50L%0A
#c, #n%0A%0A
 x R$1.270,00 -> %0A%0A
Obrigado",33,,,,1,5396,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/foYrinjz5FKNv1gW1eql.png,CwAP0MWvSOWgscNVrCGGSA,,,,,,,,
pYBAAKG6TielU0Xc9nasgA,U81KVgVVTY2jgHJe0TyiAA,Produtos de Limpeza,vYSQobfaRIO0urHRc8WyWQ,PZOwW1.1ROSiob7KmFoQKw,2505,Tem variação,Seven Clor 50L,"É um desinfetante e alvejante clorado para roupas hospitalares.
Teor de Cloro Ativo: 10% a 12%",Concentrado - Alto Rendimento,"Concentrado - Alto Rendimento a partir de R$464,00",,,,464,464,"R$464,00",,,"50L   R$ 464,00","50L   R$ 464,00","a partir de R$464,00",, x  ->  ,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/jX5qZAcqbabZqLhwYMpY.png,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/jX5qZAcqbabZqLhwYMpY.png,,,pYBAAKG6TielU0Xc9nasgA   ,pYBAAKG6TielU0Xc9nasgA ,"Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Clor 50L%0A
#c, #n%0A%0A
 x R$464,00 -> %0A%0A
Obrigado","https://wa.me/5516997477032?text=Olá%0A
Tenho interesse nesse produto:%0A%0A
Seven Clor 50L%0A
#c, #n%0A%0A
 x R$464,00 -> %0A%0A
Obrigado",33,,,false,,5396,,,,,,,,,,
