Subcategoria id,Categoria id,Categoria,Tipo de Tamanho id,Ordem,Imagem
GzETZAK2TgWpSwQbb2m.HQ,7cSejxtDR-mcKsaHVh5SZg,Tapetes,Nlfwazk9RPKFunUcFg8mTA,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/rspCOC8YjvmWD89tQP3u.png
6jb1-4M5QTmLkGJIbdTJGA,7cSejxtDR-mcKsaHVh5SZg,Toalhas de Mesa,Nlfwazk9RPKFunUcFg8mTA,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/ljIJgDKHugnl78B9e81P.png
1Jz.YY2FRdugB..wG9c9Kw,m1kvokUKQTGD4e7OjGYWIQ,Pisos e Pedras,OVY3BHlhR4ebyIZM4nNGFg,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/x4vz767R0pcRGIU3LAOz.png
lieNFsRzTyiGWPmzHldscA,m1kvokUKQTGD4e7OjGYWIQ,Limpeza de Vidros,OVY3BHlhR4ebyIZM4nNGFg,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/Px9pL38lCwaeV6jlZ61d.png
4UkiID9rRlGTuCUe8ytJ1A,m1kvokUKQTGD4e7OjGYWIQ,Superfícies de ACM,OVY3BHlhR4ebyIZM4nNGFg,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/zMMUxzEiM90Ai66SVmcI.png
JHACTOZJSkSlI0nhpFscQQ,gEqTGwR4Tbmc21Un8vZpLw,Lavadoras,jeYTQJlURsa6DNeh4ubtng,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/a43OObC6hAdup9IKQmrT.png
JscWRaGiTrmeLW7hWvyhHw,gEqTGwR4Tbmc21Un8vZpLw,Enceradeiras e Acessórios,jeYTQJlURsa6DNeh4ubtng,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/2xXuvlMz0ofptbOe3xOa.png
LzANmU3uRRGUHwtlSkG1dg,DbmqrHlzRHCl25L7ycxNqA,Dispenser Saboneteira ,MffGbntoQ-23RGb9BSs8yg,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/0z94eqDiaoWZKgeKKuVA.png
GT3.uKO0Squxg9i-G1AomQ,DbmqrHlzRHCl25L7ycxNqA,Dispenser Papel Toalha,MffGbntoQ-23RGb9BSs8yg,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/2u6tEHx9uM7mSQORSgkN.png
vrrbdMu8QxyH7fegn-kcYQ,DbmqrHlzRHCl25L7ycxNqA,Dispenser Papel Higiênico,MffGbntoQ-23RGb9BSs8yg,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/QGrwtRQ3lQzGFgr5CNbN.png
UtLv7Y7-TFOFnrWTgKa1dg,t4X5H0bhQPKKQyBpkpI4OQ,Tratamentos de Piso,PLGJ9BE8T-yMHTCizStmhg,1,https://www.rhspremium.com/wp-content/uploads/2021/05/2021-05-21-servico-de-limpeza-pos-obra-1280x720.jpg
mNf2MR4TTlWE0ZhVPd3KKA,U81KVgVVTY2jgHJe0TyiAA,Novidades,PZOwW1.1ROSiob7KmFoQKw,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/S5BFiIoHoqQbLmBd6UGB.png
VJL6LvJRRJud6Z2WGKu4xA,U81KVgVVTY2jgHJe0TyiAA,Limpeza Geral,PZOwW1.1ROSiob7KmFoQKw,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/NbzR9YGCOWgoMxTHvQpo.png
HYAzL8qzQ12T999V1h.waA,U81KVgVVTY2jgHJe0TyiAA,Cozinha,PZOwW1.1ROSiob7KmFoQKw,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/9oX7kdVelenSjoX930pJ.png
vYSQobfaRIO0urHRc8WyWQ,U81KVgVVTY2jgHJe0TyiAA,Lavanderia,PZOwW1.1ROSiob7KmFoQKw,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/xOQ7rclgiSzb1KEyl6Cp.png
shoR0gYiRqa38PWPHW7ZaA,U81KVgVVTY2jgHJe0TyiAA,Automotivo,PZOwW1.1ROSiob7KmFoQKw,6,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/pqSHi1t7Crnrp9RUKVek.png
0IMqAW0hQISSER5OljMY0A,2L75YK-NQhCO3CYlFwNiGA,Rodos,4fbKznm1SBK0oo9kp.oM7Q,1,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/upbYq3bfTC7UNWJs38Ze.png
1efX3.JjTqq1A6wqNY47IA,2L75YK-NQhCO3CYlFwNiGA,Cestos e Lixeiras,4fbKznm1SBK0oo9kp.oM7Q,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/6cJZuiS6GcyuQwpoYGvF.png
7ugugfImTp6.mdO3mxWnEg,2L75YK-NQhCO3CYlFwNiGA,Vassouras,4fbKznm1SBK0oo9kp.oM7Q,2,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/NZEu66JkpZSzqHlEVVB6.png
PerFBGWhSV6q.warjJHiBg,2L75YK-NQhCO3CYlFwNiGA,Panos,4fbKznm1SBK0oo9kp.oM7Q,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/1jvPTnUhfbhcvqlB1hoH.png
NE6lB2jhRrWYr62QZZtEdg,2L75YK-NQhCO3CYlFwNiGA,"Esponjas, Fibras e Buchas",4fbKznm1SBK0oo9kp.oM7Q,5,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/gmMxAgHTkmyvKJs4tXVL.png
