Fragrância id,Fragrâncias
afep1N0qTIKD33fayENcvA,Lavanda
gI-hWcX1QEatrZ7r8Q4bSg,Flores do Campo
t.hUgRjvSNmcvL9Rd8Y3oA,Capim Silvestre
5wbxjTJQRWGBFZ04nNGZmA,Clear Care
SNlva4SlQsCStW-fDI0EXg,Clear
V3ixkpErRsmj-9P3S5zYzQ,Capim Limão
gB4fQZYdTfiP54e1D9zXrA,Côco
a-yIXmzrnTpKsonEP0zteQg,Limão
v5-I.pufQ5KAgCJO.xCsig,Maçã
ItJ-wZ0aQnOX-JPDV-.p8Q,Neutro
0tgphvvWTyuhF8Ha0Ge2lA,Dama da Noite
6dTiwhqLTXCYPLKT.Uhuag,"Orquídea Negra
"
ZgmPq89MQQGDZl2V81YL8g,Floral
FIb6kc1fTW6GJbAHOIvN6w,Red Fruits
oBQ.qxHERGGDRY1EjydDNQ,Perfume das Orquídeas
YAbW3GFkQ5yOz2jf7E8PLA,Sem Fragrância
atrceIU5QKqAE9JeEj5lSQ,Talco
3JfNqG.FSPS3TUVXKmwcew,Brisa de Outono
jO8FRznwSnum6M4HB0UFrg,Orvalho do Campo
fpPxcY5VTa2pRKevIRq6iw,Pétalas do Ambiente
sJY9oFT-ThigwAWREAR4Zw,Dovar
UQ1Mk82FROSdy6nTacbMZA,Erva Doce
peq6oDuAT4auKY9XqM8KFw,DAISY
IfpmeDu9QdelTvLYVsFBxg,Bambu
J52M9EUkTgSaAm4Ylq45hA,Madeira Do Oriente
lDEF66QoSV2bP4rHoUeDZA,Agradable
mOKkbtpzTBqaJUmz8MIUtQ,Bela Flore
3EwoA5JfSCukGPlYyBHEDg,Mistero Di Amore
jYkZ3O9hT8y4mVwEVgmPFQ,Sensualidad
ExdcIuNATuGONqQnZqRCag,Amable
YEWQ13CfRNijrhpuSRZUoA,Eucalipto
UhKZ-YDYT6u6ITAU7c785A,Herbal
qj4iCLDkRoKp3rAt-EgW4g,Marine
y.1im5yhSSOGuqjVsmdl7w,Flores da Primavera
ejBORb46TdCE6wwWafLTWA,Lavanda Do Campo
a.8wJYICVQGWUHfzIaglOig,"Jasmin
"
hLRJokBPSOCxNb.wJyOglA,Pitanga
nASjD3VZScCpDDwEOd32xg,Pitanga Plus
4powOO2hT5acw9xbhqXGag,Erva Doce Soft Plus
5-3tGRplRAiv7vbIWIgH8A,Alecrim
XbilSZ8iTJqq9Q4zT-48hA,Ambar
4FQVA0PpSVGq5lZk9obkcQ,Chá Branco
oSOnuhI2Q8WFDxtGyhR-AA,Chá Preto
lvvO0jtCSveW3DkG7csbng,Rosa Chic
f85YfmZ1R12XZmH3BkF81A,Vanilla
oVbOk7GwRXqr9iiDXv20tQ,Algodão
BSzxl0c-SweC9-goXlWUnw,Citronela
jVsWuYWiRbeBZd3E08N3sg,Algas Marinhas
DoEvR48rSPuviFFM54v5iA,Cereja com Avelã
LDyEmLxOTT2vVYn-gANRiw,Cravo e Canela
6U0jgHjkSfKtdqhoK4iAQQ,Eucalipto Globulos
RktSB8T1QV6.QsV7NX9x-A,Flor de Figo
p0RqkGPnSJKIGhOCWfKHYw,Hortela
VUHBnPB3QBWcmx1sR3my-g,Lima Limão
bEHArh6GSmm1BGbo10Ynsg,Orquidea
1lZ.sgp0QvuCzn1KCjq2Ng,Patchouli com Tangerina
a-IAwn7mKTlqhZTPak91D7A,Pinho
fcfgK7vKQaOKiRTJrhOYlA,Roma
ek6YNXyzT7Su3Krjd.frOQ,Soft
eh.XLvljQTu1caaaE3GwQw,Baunilha
JiTgwxsdT9uTuYXXihe6AA,Citrus
Eqtt0XiaQ92SQ76RRu8QEA,Morango
7PjiqQ-wTvqL1GDzBXU9VA,Glayds
u.pLgC63RsireKQT8khBrg,Brisa do Mar
8lbkYBnCQN-3m5zAZL1plQ,Fofo Aconchego
6KcqK.MlT46wt.TAKN..AA,Doce Festa
XUrn701fRSunBWlbbRLAIA,Velha Infancia
3eceasZHSi-sdAuzVysaKw,Lírio Azul
Vacc1eUKQtKBbyrkD6u.Sw,Erva Doce
hl52hpbQTViU2Ag3Ntrmtw,Manga Rosa e Tangerina
I1W0cQ.0SI2mS1Egt4Sa9w,Rosas do Oriente
qpCTDYIWTwa6yZUUf.L5cQ,Orquídea Negra
3swbErczTPGSHZ-UjojZew,Base Agua 
zV.TKTysTbehMglhY77Mlg,Original
W8o3zNPUR2CODUhsDfKcYA,Lembranças da Infância
891RQzNRQYaCUWuMvQd03g,Adorável
coKW28.qST6WLNkW2Ob84w,Liberdade
ekiSc9TJRa64-AZxtsI1pA,Místico
0WmlApujQcSsYsr-5iJZew,Paixão
Nr4mSNXaS82UdgIVHdC7ew,Místico
opYG9UcYQ2GDBUAEZmm9Zg,Agua Fresca
gAum7DlmRVS2Wb01DsRApQ,Brisa de Verão
rlJoEmDWQcWXT6Y9UgSjNQ,Brisa Intenso
crxBaPHlR0eJDQcG-L1gJQ,Frescor de Primavera
9R1EpzU.TFqEkYdNHyFHBw,Sensitive Hipoalergenico
d88UwrHcT2GVomKSkqk8xQ,Lírios do Campo
oodxx0LuSuqjMdIUCy3RJg,Pinho
LEoFnuLRS1y36vqupu-pRA,Classico
chpMTqE9Qt-aoL-Z.xgFPA,Cloro
Ohjl9tF8Rd6yYZI.uliM6A,Aguas Florais
a.xAUBwElTK2yPV85M7HWKw,Frutas e Flores Vibrantes
ux-BMEZRRxKa-jEuEt085g,Lavanda & Vanilla
a-wc2W9XRSDCCVUBbWLEKcQ,Lembranças Infância 
AAVslptDQyiFjNBUDUrB1g,Toque de Maciez
unmVb3jHS9WO5czb3wU1uQ,Intuizione
Z98UZMpOT327TgdayAVyig,Passione
hKUaauzYT.mFI95pWcEX-A,Sensazione
uDD.1ORGSRK6emXH8NaT8g,Brisa Suave
A7EF1gXCQSSkbQXLS89oWQ,Adoravel
kNVhl4QRTLW6lJO0otQeZQ,Mistico
OAqAL2mmRK2FWMT37luRAA,Paixão
y64rEnLdTXO65tnHX7BHgA,Bergamota
LfN55CumQJC1mlzcbpXA-Q,Stileto
XjAE9gPpSJmO3NAoIuFFzw,Tutti-frutti
jV6dS8P2SpSctevexO3LQg,Eucalipto Citriodora
3b7DbJ-eQc-ftoc4hxBUJQ,Eucalipto Globulos
RCAQ0HKYTp2VlVEmeMYSEA,Flor de Figo
l47sQGkNQ02pPURXw4KtNA,Floral
CKkPBAU4TUGGbglJ8LSxYQ,Lavanda
EKWZD1bySEuzjMqTK4Iatw,Lima Limão
oLQ3zb59R7WuyajlqKCVWA,Orquidea
Nm9UOjdIRyiG0DCQqTquLQ,Patchouli
1idlpwyZSziGlqfjwIVnnA,Talco
yHt-rEcqQqeNaVhQs4SLTQ,Orquídea Negra
cJe84MHlSraeWbWKLQkR7A,Cha Branco
jfiP5Me4SraIgQWOo1qijw,Essências da Natureza
5mFg9zeGTlCgoIeYjUyY0A,Pétalas do Oriente
NyaL62ebTcmlkVc4EZyI9Q,Tradicional
USO4azG1Q.mZ4cyryM.Ssw,Glicerina e Amendoas
us4pb8vZRGiNgZrZ914SNw,Glicerina e Camomila
VBCJAo3DR3-XCI2FfWlMMQ,Glicerina e Erva Doce
7.bE2E2pRCi64bjcXJ1hKg,Aura Fresh
QCZOIcLjRKqCHflBWPxCGQ,Doce Astral
JX9mm7-MTh6sIaR4xQS1og,Energia Floral
iTlksPL7RSGv6IYaZbAjRQ,Authentique
eOqXbkEsRs2ZhpaT7Ns8Vw,Elegance
7xa3L0j4RrKGoYjTycjXDQ,Passion
3qYeZvt1RzexdKW4jkGZHQ,Berry
co5UmmfVTFKi8vOag7yWcQ,Hawaii
stv0TQ2ZQym7nGMxMZSAfg,New
bnQYeGbwT2a82gYDPA95tQ,Soft
nw5e8bSRQrqCBCc3UeoZ.w,Jasmim do Egito
UarBCFX8RICHMuoTGK7kXQ,Lírio da Finlândia
lz9GEGdmTqSgw7p10bcjzQ,Orquídea do Caribe
K4V3icloSbazheswd.X5-A,Elementos Ar
11WoRvXQS92AoePrU2buIA,Elementos Agua
uSjMo6ttQ9itvKnF.DCDyg,Elementos Fogo
FH5YabM5ROOoFhO6v3zROw,Rosas de Amsterda
S1L7-RRcRIGZ0wi--rtORw,Lavanda de Paris
Z1WMgRukTbCitYwkSsJ0ng,Fresh
8e8jFbyuTs2j0v3cIXHGXQ,Indigo
4OeQULSmRjWGMLO4fxc-Mg,Aromas Tropical
BrtbiNKtTqKfMGw0y1wjUA,Frutas Vermelhas
AdU1uVVIS1CfwzSD-IqYng,Algas Marinhas
a-s9ow3ztRdO04o7a4yxP6Q,Erva Doce
EGSDHOQaSoq1D4-8lxbknA,Framboesa e Amora
6BiZ0qx8Tg2RhGVn4MMp.A,Maracuja e Amora
SRuRYc4tT5-m8muU.J2zTw,Alfazema
B-31U4OnRJmYp2JZTnX2kQ,Andiroba
Vy6EFx94QZaGqLKWzuiQWw,Capim Limão
lb2iY7QkRae5sCmfCIofkw,Citronela
KtkZIdHxRAmwAQ5U4yYOUw,Flor de Algodão
Y3czWRnXSfeNAY-X2cMvLg,Maçã e Canela
3Loj6Vw9Q6Cgck6PvUObuA,Max Green
K3qEF6vQTcenAln7ZtCCOw,Max Blue
mhpWgswwTBKkaqsg2YfcgQ,Pets Suave
o3qwNxpzSPuW6SC72bsFIQ,Pétalas de Rosa
ptXa6QAxTi-6qMotFPS8Iw,Berry
sCjBSAwjTomdyEq5-6AqXg,Carro Novo
oxheuy5CQgKnzHd25BYvlQ,Marine
drslXhCyTDW.zfJpI6Vpdg,Tutti Frutti
4nP3yfP2TI-L8b31.mjKgQ,Lavanda Oriental
WP.7cPFNTk28yatq41Kmjg,Mimo
