Tamanho id,Cat Tamanho id,Tamanhos,Ordem
cCKRsCbkQMKMWJ51xRlHjw,J2q3AGAnQ2Cju1VEuxkbOw,1L,1
o5xkynNYQOeIYxfXg5DBpA,J2q3AGAnQ2Cju1VEuxkbOw,5L,2
HgM7DUY8QCi6aQfpWLYHTg,J2q3AGAnQ2Cju1VEuxkbOw,20L,3
TnP7uyMUT1aEqCtW80b5Mg,J2q3AGAnQ2Cju1VEuxkbOw,50L,4
91.fhdxjQTS6AEYAWhrxNQ,kh4xYjqLSYG1YtKtLH7n1A,200g,1
xU-.G5u4SXaTWC7ruosWfg,kh4xYjqLSYG1YtKtLH7n1A,500g,2
xir2I8q-RNWtMkc6Qpb49w,kh4xYjqLSYG1YtKtLH7n1A,1kg,3
b5BuDYjJRLSBEzl8UQMiTA,J2q3AGAnQ2Cju1VEuxkbOw,10ML,1
FMy8Osq4TKuzFI3BBkDLzg,766iK6d2QYWzv-bl.BA1gA,1 M,1
EPPyGFLCTr2yEXtEB2YDPQ,766iK6d2QYWzv-bl.BA1gA,2 M,2
RUXZ-ZBlRFidQ3NF7FoiAg,PZOwW1.1ROSiob7KmFoQKw,1L,4
Wrx-GAsYQQe-OWT9NcZ6ew,PZOwW1.1ROSiob7KmFoQKw,5L,5
BQOwfr2KSRi9EHxXD4VMSA,PZOwW1.1ROSiob7KmFoQKw,250ml,1
YlN0PF5XT-euynbZ-Fer6Q,PZOwW1.1ROSiob7KmFoQKw,20L,6
wOcyDTRuRMaY9Maxl1J38w,PZOwW1.1ROSiob7KmFoQKw,500ml,3
No8pDrIlTvKQ3u2eiHjJpQ,PZOwW1.1ROSiob7KmFoQKw,50L,7
WC-ZGQ3jSNGCIOxYNjm4EA,PZOwW1.1ROSiob7KmFoQKw,170g,
bAStaZgiTG-xxQA.nVsf.g,PZOwW1.1ROSiob7KmFoQKw,1Kg,
CQ.P-xi2RHmXPAwEeSHrjQ,ViU2USNJRHq0ozZts2ayIg,1L,1
n5FoQoB6T3Cz0j2iRIlJLA,ViU2USNJRHq0ozZts2ayIg,5L,2
tQ2P30n6RqmBUwy3vrOC8A,PZOwW1.1ROSiob7KmFoQKw,440ml,2
m0l1t3aOQcGdKg6quVxwYA,PZOwW1.1ROSiob7KmFoQKw,7L,1
DRLAQ-DZSluQFh.2QcGYbQ,PZOwW1.1ROSiob7KmFoQKw,2L,5
a-mOT7GbuRB-Hakv-23dXqg,PZOwW1.1ROSiob7KmFoQKw,"2,4Kg",
Kj6ntsnwQd-9R798KTLjaw,PZOwW1.1ROSiob7KmFoQKw,4Kg,
Pq1Gzqj-SISh0F3X0lz8aA,PZOwW1.1ROSiob7KmFoQKw,"5,6Kg",
tdbzy.bDQVKHLnGW4vwosw,PZOwW1.1ROSiob7KmFoQKw,570g,
qJPZ2oYJSUOhQl3i9XT1-g,PZOwW1.1ROSiob7KmFoQKw,800ml,
WOpsN7hfQRqIPDGyauSYLw,PZOwW1.1ROSiob7KmFoQKw,"1,7Kg",
wA5mL5RPTdiHgKCesAIqxA,kSgfbo3eS7iVX4KjN7Bb2Q,CX C/ 25 PCTs,
HaUbeoEgRCqOyKbLcdLPvA,kSgfbo3eS7iVX4KjN7Bb2Q,PCT C/ 100 COPOS,
4I4xHAJvSheVTGVdLnj5ZQ,kSgfbo3eS7iVX4KjN7Bb2Q,CX C/ 50 PCTs,
qRLr2Ha-SJ-93c1gFBbX2A,kSgfbo3eS7iVX4KjN7Bb2Q,10L,
MhFhof9YRfGZiL4TYyWzHA,kSgfbo3eS7iVX4KjN7Bb2Q,20L,
gG1iRlU4TA-UyZcTqQFUng,kSgfbo3eS7iVX4KjN7Bb2Q,15L,
9q9vQjufTVuTqkEUkfVjSw,kSgfbo3eS7iVX4KjN7Bb2Q,30L,
a-cgsnEaeS-21akC2QqnMDA,kSgfbo3eS7iVX4KjN7Bb2Q,40L,
PBFgdfabRL2-2Q1rgblMkA,kSgfbo3eS7iVX4KjN7Bb2Q,50L,
u2tV7myiSQKYd4Sqv9xXug,kSgfbo3eS7iVX4KjN7Bb2Q,100L,
I7i.0l3rRZGuA9qQO5x-Wg,kSgfbo3eS7iVX4KjN7Bb2Q,60L,
dauTuDyVQOmmzTVmTgBEBg,kSgfbo3eS7iVX4KjN7Bb2Q,105L,
5F2zo4gTSvGFrdSye1NADQ,kSgfbo3eS7iVX4KjN7Bb2Q,200L,
kxJvtWQkS8qJVl0a.EzFqw,kSgfbo3eS7iVX4KjN7Bb2Q,150L,
SGXRQQBiQuWghTHtbrjYFg,kSgfbo3eS7iVX4KjN7Bb2Q,ROLO C/ 10 UN - 100L,
IFO1zXRASpGgSWjHTQCEfA,kSgfbo3eS7iVX4KjN7Bb2Q,ROLO C/ 20 UN - 50L,
x0WEFk13SBaSltbbHLShqg,4fbKznm1SBK0oo9kp.oM7Q,40cm,4
aTe.8KOERu2L1I87VBhlzg,4fbKznm1SBK0oo9kp.oM7Q,60cm,6
LD0yhO7oTOavu-vZIc2DAQ,4fbKznm1SBK0oo9kp.oM7Q,"1,2M",8
RwdpGv3-Qr64QvKcyLLCnw,4fbKznm1SBK0oo9kp.oM7Q,22cm,1
OsEQJ2MzS5WhFfl7dNgbGw,4fbKznm1SBK0oo9kp.oM7Q,35cm,3
ylg8Ut8wS7eBvUO6zbGR9Q,4fbKznm1SBK0oo9kp.oM7Q,30cm,2
6YgmeOltS4C3C1fRO-s0JQ,kSgfbo3eS7iVX4KjN7Bb2Q,105L,
3kKvX-lCThuO6daYKy4N2Q,4fbKznm1SBK0oo9kp.oM7Q,45cm,5
gf5LHPuLTouIiGj0DP3A4g,4fbKznm1SBK0oo9kp.oM7Q,65cm,7
B68.EaKhRGiXOXrDIp0KZw,4fbKznm1SBK0oo9kp.oM7Q,55cm,"5,5"
fRZRrNhIQY-RuERcaio2.g,4fbKznm1SBK0oo9kp.oM7Q,12L,
pqhx.Uo3RKqdV4RMsp7cBQ,4fbKznm1SBK0oo9kp.oM7Q,10L,
P1WspisnSv2JUgKMAqB3uw,4fbKznm1SBK0oo9kp.oM7Q,15L,
73jdZFpeRTyyxLrVQhinZw,4fbKznm1SBK0oo9kp.oM7Q,"8,5L",
5TadwGBZRLyK4taz8SV9wQ,kSgfbo3eS7iVX4KjN7Bb2Q,PCT C/4 ROLOS,
MqDPNXD7TtC8jInl78X4jQ,kSgfbo3eS7iVX4KjN7Bb2Q,PCT C/48 ROLOS,
YCxZCo26Tbed4JqTQQeu8A,kSgfbo3eS7iVX4KjN7Bb2Q,PCT C/12 ROLOS,
mHGyjyamSCWdxUvxqtrXJg,kSgfbo3eS7iVX4KjN7Bb2Q,PCT C/64 ROLOS,
a-HZbwRuUT3KRbgdyQeYapA,kSgfbo3eS7iVX4KjN7Bb2Q,PCT C/72 ROLOS,
u4Ij6au7T5mtuQrK2lz05w,kSgfbo3eS7iVX4KjN7Bb2Q,8 ROLOS,
DuHJ55SdSs2fdwp-zCgZAA,kSgfbo3eS7iVX4KjN7Bb2Q,8.000 FOLHAS,
518jd41IQJy1HYRQlBa6fQ,kSgfbo3eS7iVX4KjN7Bb2Q,10.000 FOLHAS,
M08IRIj8S22RYDi05uKoiw,kSgfbo3eS7iVX4KjN7Bb2Q,4.800 FOLHAS,
l8DisUh-RIC5BKKvXYroqQ,kSgfbo3eS7iVX4KjN7Bb2Q,EXTRA LUXO,
q4Sbx4AsQPCTMG9fXxnvzA,kSgfbo3eS7iVX4KjN7Bb2Q,100% CELULOSE,
MUi0FbqMSo67Q98pelNmag,kSgfbo3eS7iVX4KjN7Bb2Q,1.000 FOLHAS,
vs7rd52vT9uNGoy4ZKZceQ,kSgfbo3eS7iVX4KjN7Bb2Q,6 ROLOS,
uEFMjh-kQnqAfXyjtroPEw,kSgfbo3eS7iVX4KjN7Bb2Q,CX 50un.,
ACQifyF6RzygJPfGkvAZFg,kSgfbo3eS7iVX4KjN7Bb2Q,TAM P,
JYvs3fEPTb2qiV9WoOGJ5w,kSgfbo3eS7iVX4KjN7Bb2Q,TAM M,
DloHpt9ARcaxlFMfGhiIAg,kSgfbo3eS7iVX4KjN7Bb2Q,TAM G,
K5hUuq-cRh-7YymR13QOYQ,kSgfbo3eS7iVX4KjN7Bb2Q,TAM XG,
OW.6cjBsRi2WtfhOGLjBHA,kSgfbo3eS7iVX4KjN7Bb2Q,50un.,
xky5sPBOTWSd34.gxLWm7g,kSgfbo3eS7iVX4KjN7Bb2Q,300M,
Y.Mz1XAdRjmjILSdBAvFDg,kSgfbo3eS7iVX4KjN7Bb2Q,240M,
u.e9NipRRd2E1SF7J2WDoA,kSgfbo3eS7iVX4KjN7Bb2Q,5un.,
hJJ2V0GoQKSso0vqYZSaeg,kSgfbo3eS7iVX4KjN7Bb2Q,25un.,
J6gFeZjqTaGz97CkCIP6-Q,OVY3BHlhR4ebyIZM4nNGFg,1L,
a-SppZEQ-SyO1pwjbnLuN.w,OVY3BHlhR4ebyIZM4nNGFg,5L,
57fGJbbhQyK.HPTgsT-Vuw,OVY3BHlhR4ebyIZM4nNGFg,20L,
