Cores id,Cores
L3JTIKxgTSGW5bFijr-3Vw,Branco
a9aZG-NITaatv3Hw7U25jQ,Amarelo
zkdvUb.jTG2Ve8zi-8Jnlg,Verde
urtYhKd8Q3eqzNC-pkk0jQ,"Azul
"
UP1v2Jx3TbOl7qPc6BHJeA,Preto
o7B3dBl7SuuVkoXmUwpj-A,Vermelho
a.hZwvjZYSCWwbDuX40uJDg,Violeta
VVpBO2gpRgqGSDhhyrFAQQ,Rosa
dcs6ev0TRXWf.pcfMxuibw,Marrom
PT7ycmH9Q1-j9WBDGGUGxQ,Cinza
AMoTwwZASRq20IK6ByvA5Q,Laranja
ZEhfbn5yRIGIK9U1Emze.Q,Roxo
2j1Iz4V3SSuarNg8uIsbDQ,Grafite
BxIMppNGRLi1v6RnHsmEnQ,Verde Bandeira
v1ePbhiYQ-GeA2NPS6uzdw,Ouro Carajas
QQEgs.yYQ6Sn6ORkA63p-w,Folhagem
rfSLAWMJRQi0.NvUCb9exw,Bambu de Jardim
NnSho9B8SmWCTxhVQTS.Dw,Árabe Bege
aY1FiVxOTtSa7ehZNBoxeQ,Bege
t3YMy0dYS9K0sXlkeM4NpA,Árabe Preto
yYo.0Jl6TFuc-qi8Uk6esA,Diamond
gp9llz4uSYKd8EsKRh5mgQ,Floral Delicado
kunj6seTSXeeMdP8gBHo7A,Tecido Cinza
a-FsNb5ukQE-hr7s7nc25vw,Beer Time
wxpQeYynQyemO99SaLB8uQ,Galinhas Black
8rENrnnXRquMig.DbUNnmw,Azul Royal
wUBnTuvSTrGh.It5QzOnAA,Azul Marinho
byuTF55YQC6stN6k-vq0ow,Vermelho Ferrari
y9kJbvkyQRalyITBEy07HA,Rosa Pink
nObBx2BzRfOj9V64H4cAig,Creme
anEq7l.ITLWPL.JmDqgu-A,Prata
xMlV5m6NQb23FuzPMFkRvA,Colorido
P3cqqT6fTHCoPBTBtjK1Rw,Fendi
