Row id ValorTamanhoFragrancia,Produto id,Tamanhos id,Valor,Tamanho,TMP Fragrância Cor,Tipo de tamanho id,TMP_Produto ID + Fragrância ID,TMP Chave tripla,Indisponível,TMP Tamanho indisponivel,Lista descritivo,TMP Todas as variações,Codigo Ref,Nome do Produto,Fragrancia id,Fragrancia,Se indisponivel,Valor Promocional,Cores id,Cor
HnUHMXjqRjOUuTDwBZKqXg,gWV0FIbCSL2b0joAOinwzw,cCKRsCbkQMKMWJ51xRlHjw,100,1L,"1L   R$ 100,00",J2q3AGAnQ2Cju1VEuxkbOw,gWV0FIbCSL2b0joAOinwzw ,gWV0FIbCSL2b0joAOinwzw cCKRsCbkQMKMWJ51xRlHjw  ,false,1L ,"1L   R$ 100,00_ 5L   R$ 199,00","1L   R$ 100,00
 5L   R$ 199,00",,,,,,,,
NIXemLD2TueoVOkdDBSy4Q,gWV0FIbCSL2b0joAOinwzw,o5xkynNYQOeIYxfXg5DBpA,199,5L,"5L   R$ 199,00",J2q3AGAnQ2Cju1VEuxkbOw,gWV0FIbCSL2b0joAOinwzw ,gWV0FIbCSL2b0joAOinwzw o5xkynNYQOeIYxfXg5DBpA  ,false,5L ,"1L   R$ 100,00_ 5L   R$ 199,00","1L   R$ 100,00
 5L   R$ 199,00",,,,,,,,
cR8LWJxjRGahlsjYn9RpJA,mHXDcwlzQyuedMDbim9S5A,HgM7DUY8QCi6aQfpWLYHTg,300,20L,"20L   R$ 300,00",J2q3AGAnQ2Cju1VEuxkbOw,mHXDcwlzQyuedMDbim9S5A ,mHXDcwlzQyuedMDbim9S5A HgM7DUY8QCi6aQfpWLYHTg  ,,20L ,"20L   R$ 300,00_ 50L   R$ 400,00","20L   R$ 300,00
 50L   R$ 400,00",,,,,,,,
fYB8PAgaRj6llx.bQBXtJQ,mHXDcwlzQyuedMDbim9S5A,TnP7uyMUT1aEqCtW80b5Mg,400,50L,"50L   R$ 400,00",J2q3AGAnQ2Cju1VEuxkbOw,mHXDcwlzQyuedMDbim9S5A ,mHXDcwlzQyuedMDbim9S5A TnP7uyMUT1aEqCtW80b5Mg  ,,50L ,"20L   R$ 300,00_ 50L   R$ 400,00","20L   R$ 300,00
 50L   R$ 400,00",,,,,,,,
ZKHrQe35TgaGTpvFq3yJYw,vjvEdqB2RZuRNLl4js9Oig,FMy8Osq4TKuzFI3BBkDLzg,100,1 M,"1 M   R$ 100,00",766iK6d2QYWzv-bl.BA1gA,vjvEdqB2RZuRNLl4js9Oig ,vjvEdqB2RZuRNLl4js9Oig FMy8Osq4TKuzFI3BBkDLzg  ,,1 M ,"1 M   R$ 100,00_ 2 M   R$ 220,00","1 M   R$ 100,00
 2 M   R$ 220,00",,,,,,,,
XKyIIwm4RQ2QX.dSJKBxpQ,vjvEdqB2RZuRNLl4js9Oig,EPPyGFLCTr2yEXtEB2YDPQ,220,2 M,"2 M   R$ 220,00",766iK6d2QYWzv-bl.BA1gA,vjvEdqB2RZuRNLl4js9Oig ,vjvEdqB2RZuRNLl4js9Oig EPPyGFLCTr2yEXtEB2YDPQ  ,,2 M ,"1 M   R$ 100,00_ 2 M   R$ 220,00","1 M   R$ 100,00
 2 M   R$ 220,00",,,,,,,,
R9qZhwbMRyWJljiVCqANBA,wPKDRakzST642Y7IOfNbAA,Wrx-GAsYQQe-OWT9NcZ6ew,"102,9",5L,"5L   R$ 102,90",PZOwW1.1ROSiob7KmFoQKw,wPKDRakzST642Y7IOfNbAA ,wPKDRakzST642Y7IOfNbAA Wrx-GAsYQQe-OWT9NcZ6ew  ,,5L ,"5L   R$ 102,90_ 1L   R$ 16,50","5L   R$ 102,90
 1L   R$ 16,50",7898237044262,,,,,,,
Hzv2I3KARsCjlDdOIDkf7g,wPKDRakzST642Y7IOfNbAA,RUXZ-ZBlRFidQ3NF7FoiAg,"16,5",1L,"1L   R$ 16,50",PZOwW1.1ROSiob7KmFoQKw,wPKDRakzST642Y7IOfNbAA ,wPKDRakzST642Y7IOfNbAA RUXZ-ZBlRFidQ3NF7FoiAg  ,,1L ,"5L   R$ 102,90_ 1L   R$ 16,50","5L   R$ 102,90
 1L   R$ 16,50",7898237044200,,,,,,,
9RZtpDIsQo-z0Ohtd4e3nw,uLH64GruSGmQpXAypvnR7A,RUXZ-ZBlRFidQ3NF7FoiAg,24,1L,"1L   R$ 24,00",PZOwW1.1ROSiob7KmFoQKw,uLH64GruSGmQpXAypvnR7A ,uLH64GruSGmQpXAypvnR7A RUXZ-ZBlRFidQ3NF7FoiAg  ,,1L ,"1L   R$ 24,00_ 5L   R$ 105,00","1L   R$ 24,00
 5L   R$ 105,00",7898237044385,Seven Lava Autos ,,,,,,
a-IIUhaf5Qva6C.31uW.FOQ,uLH64GruSGmQpXAypvnR7A,Wrx-GAsYQQe-OWT9NcZ6ew,105,5L,"5L   R$ 105,00",PZOwW1.1ROSiob7KmFoQKw,uLH64GruSGmQpXAypvnR7A ,uLH64GruSGmQpXAypvnR7A Wrx-GAsYQQe-OWT9NcZ6ew  ,,5L ,"1L   R$ 24,00_ 5L   R$ 105,00","1L   R$ 24,00
 5L   R$ 105,00",7898237044392,Seven Lava Autos ,,,,,,
